nodeID, floor, Type, X, Y, EdgeID, Weight
3001,3,SECTION,-75,-36,3100,1
3001,3,SECTION,-75,-36,3002,1
3002,3,SECTION,-69,-36,3001,1
3002,3,SECTION,-69,-36,3057,2
3002,3,SECTION,-69,-36,3004,1
3003,3,SECTION,-63,-46,9003,1
3003,3,SECTION,-63,-46,3004,1
3004,3,SECTION,-63,-36,3002,1
3004,3,SECTION,-63,-36,3003,1
3004,3,SECTION,-63,-36,3101,1
3004,3,SECTION,-63,-36,3005,2
3005,3,SECTION,-52,-36,3004,2
3005,3,SECTION,-52,-36,3006,1
3005,3,SECTION,-52,-36,3007,2
3006,3,SECTION,-52,-29,3005,1
3006,3,SECTION,-52,-29,314,0
3007,3,SECTION,-42,-36,3005,2
3007,3,SECTION,-42,-36,3009,3
3007,3,SECTION,-42,-36,3008,1
3008,3,SECTION,-42,-29,3007,1
3008,3,SECTION,-42,-29,314,0
3009,3,SECTION,-25,-36,3007,3
3009,3,SECTION,-25,-36,3010,1
3009,3,SECTION,-25,-36,3011,2
3010,3,SECTION,-25,-29,3009,1
3010,3,SECTION,-25,-29,314,0
3011,3,SECTION,-16,-36,3009,2
3011,3,SECTION,-16,-36,3012,1
3011,3,SECTION,-16,-36,3014,2
3012,3,SECTION,-16,-29,3011,1
3012,3,SECTION,-16,-29,314,0
3013,3,SECTION,-9,-61,8203,1
3013,3,SECTION,-9,-61,3014,3
3014,3,SECTION,-9,-36,3011,2
3014,3,SECTION,-9,-36,3013,3
3014,3,SECTION,-9,-36,3015,2
3015,3,SECTION,4,-36,3016,1
3015,3,SECTION,4,-36,3014,3
3015,3,SECTION,4,-36,3017,1
3016,3,SECTION,4,-44,308,0
3016,3,SECTION,4,-44,3015,1
3016,3,SECTION,4,-44,9002,2
3017,3,SECTION,11,-36,3015,1
3017,3,SECTION,11,-36,3102,2
3017,3,SECTION,11,-36,3019,2
3018,3,SECTION,20,-49,3019,3
3018,3,SECTION,20,-49,3020,1
3019,3,SECTION,20,-36,3017,2
3019,3,SECTION,20,-36,3018,3
3019,3,SECTION,20,-36,3023,2
3019,3,SECTION,20,-36,3027,5
3020,3,SECTION,28,-49,3018,1
3020,3,SECTION,28,-49,8302,2
3020,3,SECTION,28,-49,3021,1
3021,3,SECTION,35,-49,3020,1
3021,3,SECTION,35,-49,3022,1
3022,3,SECTION,35,-49,3021,1
3022,3,SECTION,35,-49,335,1
3022,3,SECTION,35,-49,3023,1
3023,3,SECTION,35,-37,3022,2
3023,3,SECTION,35,-37,3052,4
3023,3,SECTION,35,-37,2024,2
3024,3,SECTION,35,-28,3023,2
3024,3,SECTION,35,-28,338,1
3024,3,SECTION,35,-28,3025,3
3025,3,SECTION,28,-13,3024,3
3025,3,SECTION,28,-13,339,1
3025,3,SECTION,28,-13,3026,1
3026,3,SECTION,35,-13,3025,1
3026,3,SECTION,35,-13,3037,5
3027,3,SECTION,20,1,3019,6
3027,3,SECTION,20,1,332,1
3027,3,SECTION,20,1,3028,2
3028,3,SECTION,20,12,3027,2
3028,3,SECTION,20,12,3331,1
3028,3,SECTION,20,12,3036,3
3028,3,SECTION,20,12,3029,2
3029,3,SECTION,20,21,3028,2
3029,3,SECTION,20,21,3332,1
3029,3,SECTION,20,21,3030,1
3030,3,SECTION,20,27,3029,1
3030,3,SECTION,20,27,3031,2
3030,3,SECTION,20,27,3334,1
3031,3,SECTION,20,36,3030,2
3031,3,SECTION,20,36,3333,1
3031,3,SECTION,20,36,3032,1
3032,3,SECTION,20,42,3031,1
3032,3,SECTION,20,42,3033,2
3032,3,SECTION,20,42,3034,2
3033,3,SECTION,21,50,3032,2
3033,3,SECTION,21,50,394,1
3034,3,SECTION,30,42,3032,2
3034,3,SECTION,30,42,3041,1
3034,3,SECTION,30,42,3035,2
3035,3,SECTION,30,50,3034,2
3035,3,SECTION,30,50,394,1
3036,3,SECTION,35,12,3028,3
3036,3,SECTION,35,12,3037,1
3036,3,SECTION,35,12,3038,2
3037,3,SECTION,35,12,3026,4
3037,3,SECTION,35,12,3036,1
3037,3,SECTION,35,12,3049,5
3038,3,SECTION,35,20,3036,2
3038,3,SECTION,35,20,3103,1
3038,3,SECTION,35,20,3039,2
3039,3,SECTION,34,27,3038,2
3039,3,SECTION,34,27,3104,1
3039,3,SECTION,34,27,3040,1
3040,3,SECTION,34,35,3039,1
3040,3,SECTION,34,35,9001,1
3040,3,SECTION,34,35,3041,1
3041,3,SECTION,34,42,3040,1
3041,3,SECTION,34,42,3034,1
3041,3,SECTION,34,42,3042,3
3042,3,SECTION,48,42,3041,3
3042,3,SECTION,48,42,3821,1
3042,3,SECTION,48,42,3043,1
3043,3,SECTION,57,42,3042,1
3043,3,SECTION,57,42,386,1
3043,3,SECTION,57,42,3044,2
3044,3,SECTION,64,42,3043,2
3044,3,SECTION,64,42,3822,1
3044,3,SECTION,64,42,3852,1
3044,3,SECTION,64,42,3045,1
3045,3,SECTION,67,42,3044,1
3045,3,SECTION,67,42,3046,1
3045,3,SECTION,67,42,3047,2
3046,3,SECTION,75,42,3045,1
3046,3,SECTION,75,42,3851,1
3046,3,SECTION,75,42,377,1
3047,3,SECTION,67,30,3048,3
3047,3,SECTION,67,30,3045,2
3048,3,SECTION,67,30,381,1
3048,3,SECTION,67,15,376,1
3048,3,SECTION,67,15,3049,1
3048,3,SECTION,67,15,3047,3
3049,3,SECTION,61,15,3050,2
3049,3,SECTION,61,15,3048,1
3049,3,SECTION,61,15,3037,5
3050,3,SECTION,61,3,3051,4
3050,3,SECTION,61,3,372,1
3050,3,SECTION,61,3,3049,2
3051,3,SECTION,61,-17,3053,4
3051,3,SECTION,61,-17,3412,1
3051,3,SECTION,61,-17,3050,4
3052,3,SECTION,55,-37,3023,4
3052,3,SECTION,55,-37,3411,1
3052,3,SECTION,55,-37,3053,2
3053,3,SECTION,61,-37,3052,2
3053,3,SECTION,61,-37,3054,1
3053,3,SECTION,61,-37,3051,3
3054,3,SECTION,67,-37,3053,1
3054,3,SECTION,67,-37,342,1
3054,3,SECTION,67,-37,3055,1
3055,3,SECTION,74,-37,337,1
3055,3,SECTION,74,-37,3056,1
3055,3,SECTION,74,-37,343,1
3055,3,SECTION,74,-37,3054,1
3056,3,SECTION,78,-38,3055,1
3056,3,SECTION,78,-38,344,1
3056,3,SECTION,78,-38,345,1
3057,3,SECTION,-69,-21,3002,2
3057,3,SECTION,-69,-21,326,1
3058,3,SECTION,-86,-21,3000,2
3058,3,SECTION,-86,-21,326,1
3100,3,FINAL,-75,-28,3001,1
3102,3,FINAL,11,-28,3017,1
3103,3,FINAL,42,20,3038,1
3104,3,FINAL,42,27,3039,1
3331,3,SECTION,14,12,3028,1
3331,3,SECTION,14,12,333,0
3332,3,SECTION,14,21,3029,1
3332,3,SECTION,14,21,333,0
3333,3,SECTION,14,36,3031,1
3333,3,SECTION,14,36,333,0
3334,3,SECTION,14,27,3030,0
3334,3,SECTION,14,27,333,0
3411,3,FINAL,53,-28,3052,1
3412,3,FINAL,55,-17,3051,1
3821,3,FINAL,48,37,3042,1
3822,3,FINAL,61,37,3044,1
3851,3,FINAL,75,47,3046,1
3852,3,FINAL,67,47,3044,1
8300,3,FINAL,-92,-36,3000,1
8301,3,FINAL,-22,-61,3013,1
8302,3,FINAL,28,-60,3020,1
9001,3,TRANSITION,0,0,3040,0
9002,3,TRANSITION,0,0,3016,0
9003,3,TRANSITION,0,0,3003,0
401,4,FINAL,-9,-21,4021,0
402,4,FINAL,-15,61,4013,1
406,4,FINAL,-33,0,4018,2
409,4,FINAL,16,-5,4001,3
411,4,FINAL,16,7,4002,2
412,4,FINAL,10,21,4023,0
412,4,FINAL,10,21,4024,0
418,4,FINAL,11,64,4011,1
470,4,FINAL,-23,-21,4021,2
470,4,FINAL,-23,-21,4022,2
4000,4,SECTION,2,9,4001,1
4000,4,SECTION,2,9,4020,2
4001,4,SECTION,2,-5,4000,1
4001,4,SECTION,2,-5,409,2
4001,4,SECTION,2,-5,4002,3
4002,4,SECTION,2,8,4001,3
4002,4,SECTION,2,8,411,2
4002,4,SECTION,2,8,4003,1
4002,4,SECTION,2,8,4015,4
4003,4,SECTION,2,15,4002,1
4003,4,SECTION,2,15,4023,1
4003,4,SECTION,2,15,4004,2
4004,4,SECTION,2,26,4003,3
4004,4,SECTION,2,26,4024,1
4004,4,SECTION,2,26,4005,2
4004,4,SECTION,2,26,4014,4
4005,4,SECTION,2,34,4004,2
4005,4,SECTION,2,34,4006,2
4005,4,SECTION,2,34,4007,2
4006,4,SECTION,9,34,4005,2
4006,4,SECTION,9,34,4102,1
4007,4,SECTION,2,42,4005,2
4007,4,SECTION,2,42,4008,1
4007,4,SECTION,2,42,4101,1
4008,4,SECTION,2,46,4007,1
4008,4,SECTION,2,46,4009,1
4008,4,SECTION,2,46,4101,1
4009,4,SECTION,2,53,4008,1
4009,4,SECTION,2,53,4100,1
4009,4,SECTION,2,53,4010,1
4010,4,SECTION,2,56,4009,1
4010,4,SECTION,2,56,4011,2
4010,4,SECTION,2,56,4012,4
4011,4,SECTION,2,64,4010,2
4011,4,SECTION,2,64,418,2
4012,4,SECTION,-13,56,4010,4
4012,4,SECTION,-13,56,4014,5
4012,4,SECTION,-13,56,4013,1
4013,4,SECTION,-16,56,4012,1
4013,4,SECTION,-16,56,402,1
4014,4,SECTION,-13,26,4015,4
4014,4,SECTION,-13,26,4004,4
4014,4,SECTION,-13,26,4012,5
4014,4,SECTION,-13,26,4016,2
4015,4,SECTION,-13,-10,4017,2
4015,4,SECTION,-13,-10,4002,4
4015,4,SECTION,-13,-10,4014,4
4016,4,SECTION,-23,26,4018,5
4016,4,SECTION,-23,26,4014,2
4017,4,SECTION,-13,0,4019,2
4017,4,SECTION,-13,0,4015,2
4017,4,SECTION,-13,0,4018,2
4018,4,SECTION,-23,0,4022,3
4018,4,SECTION,-23,0,406,3
4018,4,SECTION,-23,0,4016,5
4018,4,SECTION,-23,0,4017,2
4019,4,SECTION,-13,-10,4020,2
4019,4,SECTION,-13,-10,4017,2
4020,4,SECTION,-9,-10,4021,3
4020,4,SECTION,-9,-10,4000,3
4020,4,SECTION,-9,-10,4019,1
4021,4,SECTION,-9,-21,470,3
4021,4,SECTION,-9,-21,401,0
4021,4,SECTION,-9,-21,4020,3
4022,4,SECTION,-23,-10,470,3
4022,4,SECTION,-23,-10,9002,1
4022,4,SECTION,-23,-10,4018,3
4023,4,SECTION,10,15,4003,2
4023,4,SECTION,10,15,412,0
4024,4,SECTION,10,26,4004,2
4024,4,SECTION,10,26,412,0
4100,4,FINAL,9,53,4009,1
4101,4,FINAL,7,42,4007,1
4101,4,FINAL,7,42,4008,1
4102,4,FINAL,9,38,4006,1
9002,4,TRANSITION,0,0,4022,1
